DATE,DEXUSUK
2020-01-31,1.3195
2020-02-03,1.3006
2020-02-04,1.3029
2020-02-05,1.3
2020-02-06,1.2935
2020-02-07,1.2908
2020-02-10,1.2919
2020-02-11,1.2945
2020-02-12,1.2978
2020-02-13,1.3051
2020-02-14,1.3039
2020-02-17,.
2020-02-18,1.3017
2020-02-19,1.2934
2020-02-20,1.2877
2020-02-21,1.2966
2020-02-24,1.2923
2020-02-25,1.3004
2020-02-26,1.2921
2020-02-27,1.2876
2020-02-28,1.2778
2020-03-02,1.2791
2020-03-03,1.2827
2020-03-04,1.2836
2020-03-05,1.2939
2020-03-06,1.301
2020-03-09,1.31
2020-03-10,1.2933
2020-03-11,1.2887
2020-03-12,1.2541
2020-03-13,1.2406
2020-03-16,1.2278
2020-03-17,1.2017
2020-03-18,1.176
2020-03-19,1.1662
2020-03-20,1.1743
2020-03-23,1.1492
2020-03-24,1.1784
2020-03-25,1.1763
2020-03-26,1.214
2020-03-27,1.236
2020-03-30,1.2392
2020-03-31,1.2454
2020-04-01,1.2394
2020-04-02,1.238
2020-04-03,1.2228
2020-04-06,1.2298
2020-04-07,1.2343
2020-04-08,1.2394
2020-04-09,1.2458
2020-04-10,1.2485
2020-04-13,1.2518
2020-04-14,1.2617
2020-04-15,1.2523
2020-04-16,1.2433
2020-04-17,1.2503
2020-04-20,1.2467
2020-04-21,1.2266
2020-04-22,1.2332
2020-04-23,1.2369
2020-04-24,1.2335
2020-04-27,1.2421
2020-04-28,1.2438
2020-04-29,1.2429
2020-04-30,1.2602
2020-05-01,1.2509
