DATE,DEXUSUK
2019-01-31,1.3135
2019-02-01,1.3094
2019-02-04,1.3068
2019-02-05,1.2947
2019-02-06,1.2956
2019-02-07,1.2966
2019-02-08,1.2933
2019-02-11,1.2862
2019-02-12,1.2887
2019-02-13,1.2865
2019-02-14,1.2793
2019-02-15,1.2857
2019-02-18,.
2019-02-19,1.3036
2019-02-20,.
2019-02-21,1.306
2019-02-22,1.3067
2019-02-25,1.3059
2019-02-26,1.3252
2019-02-27,1.3318
2019-02-28,1.3274
2019-03-01,1.3222
2019-03-04,1.3186
2019-03-05,1.3141
2019-03-06,1.3148
2019-03-07,1.3107
2019-03-08,1.301
2019-03-11,1.3095
2019-03-12,1.3101
2019-03-13,1.323
2019-03-14,1.3281
2019-03-15,1.3278
2019-03-18,1.3223
2019-03-19,1.3263
2019-03-20,1.3191
2019-03-21,1.3073
2019-03-22,1.3219
2019-03-25,1.3203
2019-03-26,1.3215
2019-03-27,1.3192
2019-03-28,1.3088
2019-03-29,1.3032
2019-04-01,1.3144
2019-04-02,1.3035
2019-04-03,1.3181
2019-04-04,1.3072
2019-04-05,1.301
2019-04-08,1.3048
2019-04-09,1.3048
2019-04-10,1.31
2019-04-11,1.3068
2019-04-12,1.3086
2019-04-15,1.3105
2019-04-16,1.3049
2019-04-17,1.3036
2019-04-18,1.3003
2019-04-19,1.3003
2019-04-22,1.2983
2019-04-23,1.2943
2019-04-24,1.2947
2019-04-25,1.2901
2019-04-26,1.293
2019-04-29,1.2924
2019-04-30,1.303
2019-05-01,1.3091
